date,return
08/19/2014,0.00807338679366512
08/18/2014,0.01513558145700471
08/15/2014,-0.002035936210237145
08/14/2014,-0.00022616377949099596
08/13/2014,0.02141339565845119
08/12/2014,-0.009068757247306238
08/11/2014,-0.0015647976973009433
08/08/2014,0.009603123672452266
08/07/2014,-0.005321660638059957
08/06/2014,0.0023077603574989452
08/05/2014,-0.01409760983749417
08/04/2014,0.012507383042377605
08/01/2014,-0.009674656968665282
07/31/2014,-0.026931304061905033
07/30/2014,0.003090809347345511
07/29/2014,-0.008449104660963096
07/28/2014,0.0026824366038291836
07/25/2014,-0.00729749811811322
07/24/2014,-0.004412905042009824
07/23/2014,0.0020848897731681223
07/22/2014,0.008940309689858336
07/21/2014,-0.009427346884238755
07/18/2014,0.037212662800520636
07/17/2014,-0.015326311083527708
07/16/2014,-0.0036252973089613743
07/15/2014,-0.00015382494554664624
07/14/2014,0.0098241583188322
07/11/2014,0.014148215265495048
07/10/2014,-0.008644640692925558
07/09/2014,0.00873764274583379
07/08/2014,-0.01916704375526171
07/07/2014,-0.004241266456648866
07/03/2014,0.004112727313565796
07/02/2014,-0.0005748751291943545
07/01/2014,0.012845891606881044
06/30/2014,-0.0033954976492449555
06/27/2014,0.002152827095408211
06/26/2014,-0.0045796543147811845
06/25/2014,0.024848554938749528
06/24/2014,-0.0005841322126259791
06/23/2014,0.015439730613615915
06/20/2014,0.0026310874669971166
06/19/2014,0.002764889929537445
06/18/2014,0.019078781184148273
06/17/2014,-0.002333389421854638
06/16/2014,-0.013556534448994653
06/13/2014,0.0007436241204074518
06/12/2014,-0.013402744088723917
06/11/2014,-0.003050583070173788
06/10/2014,-0.0027930581941854916
06/09/2014,0.010407533208607204
06/06/2014,0.004387060907627246
06/05/2014,0.016964751723763227
06/04/2014,-0.0005138230745986242
06/03/2014,-0.016229501238425287
06/02/2014,-0.010645026271906518
05/30/2014,-0.000339191080720264
05/29/2014,-0.0028486374734608055
05/28/2014,-0.007544821224640718
05/27/2014,0.023973264444771162
05/23/2014,0.014016802797273582
05/22/2014,0.011355560931722127
05/21/2014,0.017309408131549714
05/20/2014,0.0017207254958691394
05/19/2014,0.01580775533888164
05/16/2014,0.0012501155712362159
05/15/2014,-0.012665066841087737
05/14/2014,-0.012080503404327965
05/13/2014,0.005982026497625562
